domain,category,single_i_auroc,single_p_auroc,all380_i_auroc,all380_p_auroc,all380_aupro
Infrastructure,Asphalt_Pavement_2,100.00,96.70,99.95,93.56,80.26
Infrastructure,Asphalt_Pavement_3,100.00,93.49,99.95,92.11,74.99
Infrastructure,Battery_Tray,88.75,97.27,66.50,96.16,80.83
Infrastructure,Bolt_CL,100.00,99.80,97.93,99.68,98.88
Infrastructure,breakfast_box,86.73,87.46,81.89,86.11,68.65
Infrastructure,cable,99.78,96.38,94.79,90.72,82.59
Infrastructure,cable_gland,99.59,99.68,96.46,99.43,98.01
Infrastructure,catenary_dropper,94.29,92.96,90.01,91.33,81.59
Infrastructure,dc_power_connector,59.26,91.59,97.14,95.97,79.41
Infrastructure,Device_Box,76.63,99.18,60.87,98.50,90.88
Infrastructure,disk_wood,86.12,92.39,78.94,88.57,63.41
Infrastructure,electrical_insulator,65.34,97.79,56.46,97.74,91.53
Infrastructure,food_box,78.40,97.38,58.08,90.44,70.21
Infrastructure,food_package,70.09,97.43,64.46,94.53,77.02
Infrastructure,insulator,95.59,98.61,93.85,98.26,85.19
Infrastructure,Key,98.85,99.08,88.65,96.43,87.64
Infrastructure,L_Fitting,98.56,98.49,75.48,97.34,87.42
Infrastructure,limit_switch,99.54,95.36,94.30,96.31,87.95
Infrastructure,Magnetic-tile,95.52,83.13,90.64,78.99,67.97
Infrastructure,metal_welding,97.98,94.38,91.51,95.25,79.30
Infrastructure,nut_and_bolt,70.09,95.24,62.84,92.29,75.04
Infrastructure,pcb4,99.65,98.57,99.77,97.82,91.62
Infrastructure,photovoltaic_module,94.79,98.56,90.61,98.46,87.73
Infrastructure,Pools_Region_1,76.64,77.58,71.76,65.81,27.67
Infrastructure,Pools_Region_2,86.12,80.03,81.46,64.09,27.58
Infrastructure,Pools_Region_3,70.54,76.25,74.35,69.88,31.21
Infrastructure,Pools_Region_4,71.12,73.97,68.19,67.97,28.11
Infrastructure,Pools_Region_5,71.68,75.40,61.79,63.94,22.96
Infrastructure,Pools_Region_6,71.41,80.70,68.83,71.03,34.62
Infrastructure,Pools_Region_7,61.13,65.35,62.54,58.78,22.96
Infrastructure,Pools_Region_8,68.51,79.48,68.35,69.30,30.30
Infrastructure,power_jack,97.76,81.78,97.57,88.07,51.96
Infrastructure,Rail,100.00,90.60,99.24,92.16,61.27
Infrastructure,Reinforcing_Sleeve,91.07,97.62,83.93,97.59,92.36
Infrastructure,screen,100.00,97.40,100.00,95.68,86.78
Infrastructure,ship,71.20,93.51,65.15,91.71,71.70
Infrastructure,solar_panel,99.17,99.32,98.33,98.09,95.87
Infrastructure,steel,100.00,88.43,100.00,85.99,50.43
Infrastructure,Terminal_Block_A,67.45,97.94,57.88,96.65,80.36
Infrastructure,Terminal_Block_B,87.50,98.89,71.67,94.81,84.94
Infrastructure,Tube_CL,100.00,95.74,89.27,89.73,74.59
Infrastructure,UTM_N,83.85,89.76,65.44,81.43,44.45
Infrastructure,Valve_CL,85.54,92.50,91.08,86.69,81.52
Infrastructure,Water_Tanks_Region_1,56.89,76.69,67.25,79.31,41.65
Infrastructure,Water_Tanks_Region_2,57.62,77.17,65.71,79.21,41.23
Infrastructure,Water_Tanks_Region_3,66.25,77.13,71.66,78.88,43.28
Infrastructure,Water_Tanks_Region_4,41.66,73.30,45.13,74.86,33.79
Infrastructure,Water_Tanks_Region_5,61.49,77.66,66.32,78.78,40.03
Infrastructure,Water_Tanks_Region_6,42.23,72.87,52.39,76.03,34.22
Infrastructure,wind_turbine,99.82,99.59,83.30,96.89,82.64
Infrastructure,witness_mark,73.07,72.79,56.90,41.64,12.22
Medical,black_orange_capsule,99.71,98.89,98.57,98.60,96.61
Medical,brain_tumor,91.98,98.58,72.11,93.94,75.89
Medical,brain_tumor_brats2021,82.78,96.45,66.66,89.07,62.89
Medical,Brain_White_Matter,78.83,96.08,47.49,84.57,46.75
Medical,capsules,90.31,99.32,89.15,99.49,93.36
Medical,coated_tablet,99.08,99.22,92.66,98.66,86.03
Medical,Colon_Polyp,93.84,83.10,79.53,73.48,35.37
Medical,embossed_tablet,97.92,97.26,94.97,97.95,87.58
Medical,ginseng,100.00,99.30,99.80,98.96,93.19
Medical,lettered_tablet,97.79,97.74,88.76,97.75,86.21
Medical,Liver_Lesion,98.64,95.94,80.55,78.10,38.38
Medical,liver_pathology,74.54,98.11,65.10,97.35,91.47
Medical,liver_tumor,80.79,95.13,52.95,86.61,49.76
Medical,magnesium,99.97,99.42,99.47,99.19,89.77
Medical,ms_lesion,93.17,96.04,71.55,86.67,54.65
Medical,Oblong_Pill,99.73,98.74,98.68,99.25,97.76
Medical,oblong_tablet,95.17,97.28,90.87,96.51,80.15
Medical,pill,98.84,98.28,95.98,95.73,96.23
Medical,pink_matte_tablet,92.86,95.19,83.39,94.97,87.81
Medical,pink_tablet,97.61,97.67,95.98,97.85,85.13
Medical,red_tablet,94.80,76.75,91.09,69.15,71.09
Medical,Round_Pill,96.33,78.62,76.77,92.59,86.76
Medical,speckled_mint,99.94,84.11,98.16,82.28,77.02
Medical,stroke_lesion,82.73,97.29,37.62,80.70,56.05
Medical,Surgical_Mask,58.70,93.79,48.67,94.92,78.53
Medical,white_marked_tablet,87.95,85.98,77.95,84.30,71.04
Medical,white_tablet,97.99,96.84,98.37,96.35,84.08
Medical,yellow_tablet,99.60,98.14,98.50,98.31,91.08
